word,count,gems,should_include?
testcase,1,minitest,
namespaces,22,"rspec-expectations, rake, i18n, nokogiri, thor, bundler",
addtion,1,rspec-expectations,
composable,3,rspec-expectations,
matcher's,6,rspec-expectations,
mixin,4,"rspec-expectations, rake, sinatra",
Bignum,1,rspec-expectations,
Fixnum,4,"rspec-expectations, diff-lcs, thread_safe",
errantly,1,rspec-expectations,
eql,5,"rspec-expectations, bundler, thread_safe",
actual's,1,rspec-expectations,
messsage,3,rspec-expectations,
verifications,1,rspec-expectations,
eq,3,rspec-expectations,
config,28,"rspec-expectations, sidekiq, paper_trail, rack, i18n, thor, bundler, friendly_id, sitemap_generator, rspec-core",
getters,2,"rspec-expectations, thread_safe",
rescueing,1,rspec-expectations,
unhandled,3,"rspec-expectations, rake, eventmachine",
Autoloading,1,rspec-expectations,
Mixin,3,"rspec-expectations, rake, rspec-core",
structue,2,rspec-expectations,
memoization,4,"rspec-expectations, rspec-core",
memoize,2,"rspec-expectations, rspec-core",
Inspectable,1,rspec-expectations,
memoizing,1,rspec-expectations,
pre,8,"rspec-expectations, paper_trail, rack, i18n, thor, bundler, eventmachine, mail",
30x,3,"rspec-expectations, rest-client",
travis,1,rspec-expectations,
Delegator,2,"rspec-expectations, thread_safe",
formatter,16,"rspec-expectations, rspec-core",
diffable,1,rspec-expectations,
Minitest,2,"rspec-expectations, rspec-core",
unsortable,1,rspec-expectations,
superset,1,rspec-expectations,
Struct,3,"rspec-expectations, faraday",
rubocop,2,rspec-expectations,
multiline,1,rspec-expectations,
html,23,"cocoon, sidekiq, rack, nokogiri, rspec-core, mail, capybara",
formtastic,1,cocoon,
retriable,1,sidekiq,
sidekiq,2,"sidekiq, devise",
enqueued,6,"sidekiq, bundler, eventmachine",
Sidekiq's,3,sidekiq,
crashy,1,sidekiq,
monkeypatch,3,"sidekiq, bundler, eventmachine",
mperham,2,sidekiq,
async,5,"sidekiq, eventmachine",
pluggable,1,sidekiq,
scalability,1,sidekiq,
sharding,2,sidekiq,
middleware,39,"sidekiq, faraday, rack, sinatra, devise",
jids,1,sidekiq,
redis,3,"sidekiq, redis-rb",
Resque,1,sidekiq,
copytruncate,1,sidekiq,
logfiles,1,sidekiq,
logrotate,1,sidekiq,
jruby's,1,sidekiq,
mutex,5,"sidekiq, rack, rspec-core, thread_safe",
threadsafe,6,"sidekiq, eventmachine, rspec-core, capybara",
ru,2,"sidekiq, rack",
params,31,"sidekiq, faraday, rack, rack-test, pundit, nokogiri, bundler, rest-client, sinatra, devise, reform",
stringify,1,sidekiq,
Rakefile,5,rake,
reenable,1,rake,
Reenable,1,rake,
toplevel,4,"rake, i18n",
win32,1,rake,
dup,7,"rake, faraday, rack, thor, bundler, friendly_id, eventmachine",
globbable,1,rake,
gsub,2,rake,
pathmap,1,rake,
emacs,1,rake,
filelist,1,rake,
Pathname,3,"rake, sitemap_generator",
cmd,2,"rake, bundler",
rakefile,5,rake,
multithreaded,3,"rake, rack, eventmachine",
env,10,"rake, faraday, rack, rack-test, devise",
rakefiles,2,rake,
recognised,1,rake,
Polylithic,1,rake,
Polymorphically,1,rake,
polymorphically,1,rake,
distributable,1,rake,
gzipped,6,rake,
tgz,3,rake,
gz,3,rake,
bz2,3,rake,
bzip2'd,2,rake,
xz,3,rake,
xz'd,2,rake,
bzip2ed,2,rake,
rakelib,1,rake,
lookups,4,"rake, i18n, rspec-core, thread_safe",
dsl,2,"rake, capybara",
procs,3,"rake, friendly_id, rest-client",
fn,3,rake,
Rakefiles,1,rake,
rakelibdir,1,rake,
nowrite,2,rake,
accessors,5,"rake, i18n, thor, bundler, thread_safe",
Makefile,1,rake,
makefile,2,rake,
dirs,2,"rspec-support, rspec-core",
formating,1,rspec-support,
stdlib,8,"rspec-support, rack, rspec-core, mail, thread_safe",
sexp,2,rspec-support,
typeless,1,rspec-support,
lex,1,rspec-support,
rubygems,4,"rspec-support, bundler",
x80,1,rspec-support,
transcoding,1,rspec-support,
popen3,1,rspec-support,
substring,6,"rspec-support, thor, bundler, mail, redis-rb",
whitespace,15,"rspec-support, http-cookie, rack, thor, bundler, sitemap_generator, rspec-core, mail, capybara",
verifiers,1,rspec-support,
0's,1,http-cookie,
downcased,1,http-cookie,
name1,1,http-cookie,
name2,1,http-cookie,
value2,1,http-cookie,
http,15,"http-cookie, rack, wicked_pdf, eventmachine, rest-client, devise",
uri,17,"http-cookie, rack, nokogiri, bundler, rest-client",
Syck,3,"http-cookie, bundler",
deserialization,3,"http-cookie, paper_trail",
initializer,16,"http-cookie, paper_trail, money-rails, i18n, thor, bundler, friendly_id, paranoia, rest-client, devise, thread_safe, capybara",
backend,16,"http-cookie, rack, i18n, bundler, thread_safe",
url,38,"http-cookie, faraday, rack, nokogiri, thor, bundler, eventmachine, rest-client, sitemap_generator, devise, capybara",
Whitespace,3,"http-cookie, nokogiri",
txt,3,http-cookie,
whodunnit,6,paper_trail,
serializer,8,"paper_trail, bundler, eventmachine",
changelogs,1,paper_trail,
runtime,6,"paper_trail, thor, bundler, rspec-core",
constantize,2,"paper_trail, tilt",
unversioned,1,paper_trail,
attrs,3,"paper_trail, nokogiri",
reponsible,1,paper_trail,
postgres,5,"paper_trail, eventmachine",
rc,1,paper_trail,
overridable,4,"paper_trail, eventmachine",
jsonb,2,paper_trail,
Postgres,3,"paper_trail, eventmachine",
deserialize,5,"paper_trail, devise, reform",
ip,3,"paper_trail, eventmachine, capybara",
activerecord,1,paper_trail,
jdbcmysql,1,paper_trail,
mysql,1,paper_trail,
mysql2,1,paper_trail,
utf8mb4,2,paper_trail,
charset,13,"paper_trail, rack, nokogiri, rest-client, mail",
latin1,1,paper_trail,
2's,1,paper_trail,
serializers,1,paper_trail,
subsequence,5,diff-lcs,
subsequences,2,diff-lcs,
autodiscover,2,diff-lcs,
patchset,11,diff-lcs,
autodiscovery,4,diff-lcs,
unpatch,2,diff-lcs,
initialise,2,diff-lcs,
initialised,5,diff-lcs,
indicies,2,diff-lcs,
noticable,1,diff-lcs,
src,17,"diff-lcs, bundler",
ldiff,1,diff-lcs,
enumerables,1,diff-lcs,
favour,2,diff-lcs,
diffset,1,diff-lcs,
fininishing,1,diff-lcs,
initialisable,1,diff-lcs,
Enumerables,1,diff-lcs,
Enumerable's,1,diff-lcs,
faraday,2,faraday,
stringified,2,"faraday, rest-client",
urls,3,"faraday, rack, eventmachine",
autoloadable,1,faraday,
autoloaded,2,faraday,
unencoded,6,"faraday, mail",
base64,5,"faraday, rack, mail",
backoff,1,faraday,
retry's,1,faraday,
pipelining,3,"faraday, redis-rb",
Etag,2,rack,
apache,1,rack,
nginx,1,rack,
revalidate,1,rack,
sendfile,2,rack,
passwd,1,rack,
webserving,1,rack,
Unescapes,4,rack,
unescape,3,"rack, mail",
unescaping,2,rack,
strptime,2,rack,
satisfiable,2,rack,
plaintext,3,rack,
rackup,1,rack,
css,11,"rack, nokogiri, capybara",
ie,9,"rack, thor, bundler, devise, mail",
javascript,1,rack,
stylesheets,1,rack,
iteratively,4,"rack, rest-client, rspec-core",
Middleware,4,"rack, sinatra",
param,8,"rack, bundler, rest-client, sitemap_generator, devise",
multiparts,1,rack,
referer,1,rack,
subtype,3,"rack, ruby-mime-types",
utf,9,"rack, nokogiri, mail",
urlencoded,2,rack,
www,2,rack,
middlewares,1,rack,
deflater,1,rack,
performant,1,rack,
reloader,1,rack,
Accel,1,rack,
Lighttpd,1,rack,
Nginx,1,rack,
filesystem,4,"rack, i18n, bundler, eventmachine",
Ramaze,1,rack,
Klishin's,1,rack,
Merb,1,rack,
sourcefile,2,"rack, sinatra",
Tempfiles,1,rack,
tempfile,2,"rack, rack-test",
oject,1,rack,
memcache,1,rack,
memcache's,1,rack,
memcached,3,"rack, eventmachine",
nonces,1,rack,
sessioning,1,rack,
sid,1,rack,
compat,2,"money-rails, ffi",
de,2,"money-rails, i18n",
mongoid,2,"money-rails, devise",
Mongo,2,money-rails,
whitespaces,1,money-rails,
rdoc,2,"rack-test, tilt",
Referer,1,rack-test,
Rubinius,1,i18n,
jRuby,1,i18n,
Backends,1,i18n,
backends,5,i18n,
singluar,1,i18n,
explicitely,1,i18n,
supress,1,i18n,
yml,4,"i18n, ruby-mime-types, devise",
gettext's,1,i18n,
subkey,1,i18n,
eval'ing,1,i18n,
colisions,1,i18n,
Rusterholz,1,i18n,
backend's,1,i18n,
subtree,4,"i18n, nokogiri",
po,1,i18n,
gettext,1,i18n,
fallbacks,5,"i18n, devise",
booleans,5,"i18n, thor, bundler",
subtrees,1,i18n,
i18n,6,"i18n, friendly_id, devise",
pluralizer,1,i18n,
transliterator,3,i18n,
buz,1,i18n,
tokenize,1,i18n,
nokogiri,3,"nokogiri, sinatra",
rex,1,nokogiri,
tokenizer,1,nokogiri,
canonicalization,3,nokogiri,
mor,1,nokogiri,
stylesheet,6,nokogiri,
libxml,1,nokogiri,
xpath,14,"nokogiri, capybara",
irb,2,nokogiri,
reparented,6,nokogiri,
child1,1,nokogiri,
child2,1,nokogiri,
xmlns,8,nokogiri,
href,3,nokogiri,
ns,2,nokogiri,
io,11,"nokogiri, ffi",
xinclude,2,nokogiri,
xsd,2,nokogiri,
Namespaces,2,nokogiri,
xml,6,"nokogiri, sitemap_generator",
onload,1,nokogiri,
untrusted,6,"nokogiri, bundler, json",
dom,2,nokogiri,
w3c,2,nokogiri,
expr,1,nokogiri,
blk,1,nokogiri,
formated,1,nokogiri,
libxml2,1,nokogiri,
soap4r,1,nokogiri,
xmlparser,1,nokogiri,
Parsers,1,nokogiri,
parsers,8,"nokogiri, mail",
Encodinds,1,nokogiri,
H1,1,nokogiri,
h1,1,nokogiri,
cdata,1,nokogiri,
bitwise,3,"nokogiri, redis-rb",
fixup,1,nokogiri,
uris,1,nokogiri,
hardcoded,1,nokogiri,
div1,1,nokogiri,
xhtml,1,nokogiri,
Unlink,4,"nokogiri, redis-rb",
Canonicalize,1,nokogiri,
canonicalized,1,nokogiri,
Nodeset,1,nokogiri,
applicaton,1,ruby-mime-types,
eruby,1,ruby-mime-types,
Obselete,1,ruby-mime-types,
I18n,4,"ruby-mime-types, devise",
Indicateswhether,2,ruby-mime-types,
yaml,8,"ruby-mime-types, thor, bundler",
unformatted,2,ruby-mime-types,
resuls,1,ruby-mime-types,
serializable,2,"ruby-mime-types, devise",
thor,42,"thor, bundler",
subcommands,3,"thor, bundler, redis-rb",
substrings,2,"thor, bundler",
undefine,2,"thor, bundler",
Everytime,2,"thor, bundler",
baseclass,6,"thor, bundler",
basename,4,"thor, bundler, tilt",
namespacing,2,"thor, bundler",
Thorfiles,3,thor,
thorfiles,2,"thor, bundler",
Thorfile,1,thor,
dev,3,"thor, bundler",
james,2,"thor, bundler",
wycats,2,"thor, bundler",
klasses,2,"thor, bundler",
dir,16,"thor, bundler",
subfolder,2,"thor, bundler",
invocable,2,"thor, bundler",
Highline,6,"thor, bundler",
Neopolitan,2,"thor, bundler",
stdin,2,"thor, bundler",
heredocs,2,"thor, bundler",
Weirich,2,"thor, bundler",
tt,4,"thor, bundler",
Klishin,2,"thor, bundler",
Nicklas,2,"thor, bundler",
Templater,2,"thor, bundler",
dest,18,"thor, bundler",
Prepend,6,"thor, bundler, redis-rb",
Uncomment,2,"thor, bundler",
embbed,2,ffi,
bitmask,3,ffi,
enums,1,ffi,
objet,1,ffi,
typedef,2,"ffi, rest-client",
struct,12,ffi,
ptr,4,ffi,
func,1,ffi,
cname,1,ffi,
autorelease,9,ffi,
len,5,"ffi, redis-rb",
str,2,ffi,
ary,5,ffi,
os,1,ffi,
unix,3,"ffi, mail",
mname,1,ffi,
Autorelease,4,ffi,
releaser,1,ffi,
evaluable,1,ffi,
objets,1,ffi,
endianness,2,ffi,
errno,5,ffi,
somes,1,ffi,
Struct's,3,ffi,
Acces,1,ffi,
lockfiles,1,bundler,
binstubs,4,bundler,
Gemfile,12,bundler,
lockfile,8,bundler,
podspec,1,bundler,
approptiate,1,bundler,
Cli,2,bundler,
approriate,2,bundler,
api,4,"bundler, eventmachine",
gemspecs,1,bundler,
Enqueue,1,bundler,
bundler,10,bundler,
gemfile,3,bundler,
infty,1,bundler,
isnt,1,bundler,
valimism,1,bundler,
Sixthly,1,bundler,
executables,1,bundler,
install'd,2,bundler,
tmp,4,"bundler, sitemap_generator",
repo,2,bundler,
repos,2,bundler,
gemspec,3,bundler,
Backport,4,"bundler, mail",
subdirectory,3,"bundler, eventmachine",
subdirectories,2,"bundler, sinatra",
Rubocop,2,"bundler, rspec-core",
deps,1,bundler,
attibutes,1,bundler,
docstring,3,"bundler, rspec-core",
gemstash,1,bundler,
Rubyforge,1,bundler,
Bundler's,1,bundler,
bundlerized,1,bundler,
backports,2,bundler,
backport,1,bundler,
sudo,1,bundler,
open3,1,bundler,
Open3,1,bundler,
Gemcutter,1,bundler,
Dequeue,1,bundler,
dequeue,1,bundler,
enqueue,2,bundler,
Aoki,1,bundler,
Minero,1,bundler,
honours,1,bundler,
dereference,2,bundler,
symlink,2,bundler,
chmod,3,"bundler, eventmachine",
chown,2,bundler,
fileutils,2,bundler,
preprocess,2,bundler,
gid,2,bundler,
uid,2,bundler,
atime,2,bundler,
mtime,2,bundler,
fulfil,1,bundler,
acyclic,1,bundler,
autoload,3,"bundler, mail, tilt",
else's,2,bundler,
req,3,bundler,
hostname,5,"bundler, eventmachine, mail",
reconnection,2,bundler,
r29865,1,bundler,
specifcations,1,bundler,
codebase,1,friendly_id,
addon,4,friendly_id,
addons,1,friendly_id,
af1d,1,friendly_id,
centric,1,friendly_id,
daec,1,friendly_id,
f9f3789a,1,friendly_id,
fab81aa16ee5,1,friendly_id,
joes,1,friendly_id,
realtion's,1,friendly_id,
compatiblity,1,friendly_id,
Github,1,friendly_id,
I18n's,2,friendly_id,
uuid,2,friendly_id,
Rails's,1,friendly_id,
scaffolded,1,friendly_id,
unambigously,1,friendly_id,
considired,1,friendly_id,
nonnumeric,1,friendly_id,
Tempfile's,1,wicked_pdf,
prerenders,1,wicked_pdf,
Rails3,1,wicked_pdf,
actionpack,1,wicked_pdf,
prepend,4,"wicked_pdf, rspec-core",
protcol,1,wicked_pdf,
preload,3,bullet,
unpreload,2,bullet,
inversed,1,bullet,
preloaded,1,bullet,
assocations,1,bullet,
unpreloaded,1,bullet,
Cianfrocca,1,eventmachine,
blackhedd,1,eventmachine,
deferrable,7,eventmachine,
errback,10,eventmachine,
deferrables,1,eventmachine,
datagrams,4,eventmachine,
instantiation,2,eventmachine,
tokenized,1,eventmachine,
accomodate,1,eventmachine,
iterator's,1,eventmachine,
16K,1,eventmachine,
eventmachine,1,eventmachine,
16k,2,eventmachine,
50k,1,eventmachine,
distro,3,eventmachine,
modularization,1,eventmachine,
signalled,2,eventmachine,
pid,3,eventmachine,
popen,3,eventmachine,
erlang,1,eventmachine,
endevor,1,eventmachine,
errnos,1,eventmachine,
acceptor,1,eventmachine,
suppled,1,eventmachine,
md,2,eventmachine,
eventloop,2,eventmachine,
fd,1,eventmachine,
connectionless,1,eventmachine,
datagram,4,eventmachine,
loopback,1,eventmachine,
responder,1,eventmachine,
threadpool,2,eventmachine,
setuid,1,eventmachine,
Errno,1,eventmachine,
inotify,2,eventmachine,
kqueue,3,eventmachine,
Propogating,1,eventmachine,
proxying,2,eventmachine,
ack,1,eventmachine,
applicaiton,1,eventmachine,
explcitly,1,eventmachine,
implementaiton,1,eventmachine,
overrding,1,eventmachine,
stateback,1,eventmachine,
stateful,1,eventmachine,
transitionary,1,eventmachine,
unterminated,2,"eventmachine, mail",
Statebacks,1,eventmachine,
Errbacks,1,eventmachine,
errbacks,4,eventmachine,
statebacks,1,eventmachine,
superclasses,5,"eventmachine, sinatra",
intra,1,eventmachine,
ivar,1,eventmachine,
X509,1,eventmachine,
peername,1,eventmachine,
sockaddr,2,eventmachine,
writeability,1,eventmachine,
writability,1,eventmachine,
Haines,1,eventmachine,
Implementors,1,eventmachine,
Twisted's,1,eventmachine,
sugarings,1,eventmachine,
unshift,1,eventmachine,
cancelled,1,eventmachine,
prcess,1,eventmachine,
v4,1,eventmachine,
cassandra,1,eventmachine,
cpu,1,eventmachine,
ish,1,eventmachine,
noreply,1,eventmachine,
19Feb09,1,eventmachine,
auth,4,"eventmachine, rest-client",
authd,2,eventmachine,
imap,2,"eventmachine, mail",
imapd,2,eventmachine,
pipelined,1,eventmachine,
pwcheck,2,eventmachine,
reimplement,1,eventmachine,
saslauthd,2,eventmachine,
sendmail,5,"eventmachine, mail",
umprocessed,1,eventmachine,
Deferrables,1,eventmachine,
Neumann,1,eventmachine,
Wire3,1,eventmachine,
evented,2,"eventmachine, sinatra",
readbytes,1,eventmachine,
Chunksize,1,eventmachine,
parms,2,eventmachine,
tls,1,eventmachine,
3xx,2,"eventmachine, sinatra",
pem,1,eventmachine,
ssl,2,"eventmachine, rest-client",
pgh,1,eventmachine,
wtf,1,eventmachine,
Specifiyng,1,eventmachine,
deserializer,2,"eventmachine, reform",
13Sep08,1,eventmachine,
cgi,1,rest-client,
falsy,2,rest-client,
certifcates,1,rest-client,
Netrc,1,rest-client,
darwin,1,rest-client,
subresource,1,rest-client,
occassion,1,rest-client,
20x,1,rest-client,
etag,1,sinatra,
validator,1,sinatra,
1xx,1,sinatra,
2xx,1,sinatra,
4xx,1,sinatra,
5xx,1,sinatra,
myview,1,sinatra,
mimetypes,1,sinatra,
Subclassing,1,sinatra,
hether,1,sitemap_generator,
neccessary,1,sitemap_generator,
namer,10,sitemap_generator,
fasion,1,sitemap_generator,
gzip'ed,1,sitemap_generator,
bytesize,3,sitemap_generator,
namers,1,sitemap_generator,
S3,2,sitemap_generator,
signin,1,devise,
reconfirmable,1,devise,
Oauthable,1,devise,
rememberable,3,devise,
resque,1,devise,
authenticatable,6,devise,
namedscope,1,devise,
timeoutable,1,devise,
csrf,1,devise,
successfull,1,devise,
subhash,2,"devise, rspec-core",
abcdef,3,devise,
bcrypt,1,devise,
resending,1,devise,
oauth,1,devise,
confirmable,1,devise,
Minifies,4,uglifier,
refiltered,1,rspec-core,
configs,1,rspec-core,
sandboxed,1,rspec-core,
postfixed,1,rspec-core,
Iteratively,1,rspec-core,
formatters,20,rspec-core,
activesupport,1,rspec-core,
inflector,1,rspec-core,
shellwords,1,rspec-core,
csh,1,rspec-core,
tcsh,1,rspec-core,
zsh,1,rspec-core,
spork,2,rspec-core,
memoized,7,rspec-core,
backtraces,4,"rspec-core, tilt",
getwd,1,rspec-core,
constrast,1,rspec-core,
fcontext,1,rspec-core,
fdescribe,1,rspec-core,
Capybara,1,rspec-core,
x's,1,rspec-core,
xexample,1,rspec-core,
xit,1,rspec-core,
xspecify,1,rspec-core,
eval'd,3,rspec-core,
rerunable,1,rspec-core,
examle,1,rspec-core,
analagous,1,rspec-core,
effectful,1,rspec-core,
preloading,1,rspec-core,
willl,1,rspec-core,
Formatter,2,rspec-core,
coderay,2,rspec-core,
perf,1,rspec-core,
synax,1,rspec-core,
profiler,1,rspec-core,
v3,1,mail,
explictly,1,mail,
identiy,1,mail,
localhost,2,mail,
Unregister,2,mail,
init,1,mail,
Acceps,1,mail,
al,2,mail,
et,2,mail,
mail1,1,mail,
mail2,1,mail,
lindsaar,1,mail,
mikel,1,mail,
defence,2,"mail, capybara",
reparsed,1,mail,
Bcc,9,mail,
bcc,3,mail,
Accessor,2,mail,
E3,1,mail,
multibyte,3,mail,
encapsuled,1,mail,
parenthesies,1,mail,
8bit,4,mail,
insort,1,mail,
delegator,1,mail,
7bit,4,mail,
metods,13,mail,
codepoints,8,mail,
codepoint,4,mail,
grapheme,3,mail,
jpg,1,mail,
png,1,mail,
instantized,2,mail,
excatly,1,mail,
normalizations,2,mail,
endian,5,"mail, json",
blahbleh,1,mail,
bleh,1,mail,
paramaters,1,mail,
un,1,mail,
addr,2,mail,
ascii,1,mail,
unescaped,2,mail,
charsets,1,mail,
encoding's,1,mail,
exim,1,mail,
sbin,2,mail,
postfix,1,mail,
openssl,1,mail,
Pop3,1,mail,
anothertest,1,mail,
fred,1,mail,
joe,1,mail,
ness,1,thread_safe,
jsr166e,3,thread_safe,
64bit,1,thread_safe,
Atomics,1,thread_safe,
spinlock,1,thread_safe,
Optimisation,1,thread_safe,
modularity,1,thread_safe,
reentrant,3,thread_safe,
wakeup,1,thread_safe,
xorshift,1,thread_safe,
yˆ,1,thread_safe,
perfomance,1,thread_safe,
Herlihy,1,thread_safe,
Shavit,1,thread_safe,
Traverser,1,thread_safe,
collectable,1,thread_safe,
nullness,1,thread_safe,
putAll,1,thread_safe,
tradeoff,1,thread_safe,
traversable,1,thread_safe,
Encodings,1,thread_safe,
unlockers,1,thread_safe,
shorthands,1,thread_safe,
internalPut,1,thread_safe,
resizings,1,thread_safe,
dataset,5,redis-rb,
slowlog,1,redis-rb,
keyspace,4,redis-rb,
numpat,1,redis-rb,
numsub,1,redis-rb,
Lua,4,redis-rb,
cardinality,4,redis-rb,
geospatial,5,redis-rb,
geohash,1,redis-rb,
subcommand,1,redis-rb,
failover,1,redis-rb,
Sanfilippo,2,redis-rb,
libmemcached,1,redis-rb,
hashify,2,redis-rb,
unparser,1,json,
iconv,1,json,
serialise,2,json,
serialised,1,json,
Marshalled,2,json,
marshalling,4,json,
Deserializes,11,json,
structs,1,json,
struct's,1,json,
Unescape,1,json,
unconfigured,2,json,
unparsed,3,json,
extinding,1,json,
br,1,reform,
suboperation,1,reform,
get's,1,reform,
Representers,1,reform,
representer,2,reform,
deserialised,1,reform,
deserializer's,1,reform,
deserializing,1,reform,
prepopulate,1,reform,
Capybara's,4,capybara,
Nokogiri,2,"capybara, tilt",
textarea,2,capybara,
shouldn,5,capybara,
Fullscreen,1,capybara,
fullscreen,1,capybara,
capybara,1,capybara,
fieldset,1,capybara,
iframe,1,capybara,
jQuery,4,capybara,
asynchronicity,1,capybara,
uncheck,1,capybara,
datalist,1,capybara,
unselect,1,capybara,
Unselect,1,capybara,
readonly,1,capybara,
mouseover,1,capybara,
textareas,1,capybara,
enctype,1,capybara,
attribue,1,capybara,
shouble,1,capybara,
visibile,1,capybara,
hashable,1,tilt,
Haml,3,tilt,
Precompiled,1,tilt,
Lessscss,1,tilt,
scss,1,tilt,
Yajl,1,tilt,
autoloading,1,tilt,
Erubi,1,tilt,
